	Name of Organization	Contact Name	Address	City	State	Address (2)	City (2)	State (2)	GEOFIPS	Zip code	Contact Info	County	Industry	Industry (2nd)	Industry (3rd)	Value Network	Value Network (2nd)	Value Network (3rd)	Business Category	Business Category (2nd)	Business Category (3rd)	# of Employees	Products	Top Three ingredients	Affiliation 	Website	Various Add on	Opening Date	Over Ten Years Running	Economic_Measure_Code
266	NCSU AG Extension-Jackson County	Rob Hawk, II	876 Skyland Dr., Suite 6	Sylva	NC				37099.0	28779	828-586-4009	Jackson	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://jackson.ces.ncsu.edu/		0		WCUR_REAS_NP00
267	NCSU AG Extension-Macon County	Alan Durden	193 Thomas Heights Rd.	Franklin	NC				37113.0	28734	828-349-2046	Macon	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://macon.ces.ncsu.edu/		0		WCUR_REAS_NP00
268	NCSU AG Extension-Madison County	Ross Young	258 Carolina Ln.	Marshall	NC				37115.0	28753	828-649-2411	Madison	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://madison.ces.ncsu.edu/		0		WCUR_REAS_NP00
269	NCSU AG Extension-McDowell County	Molly Sandfoss	60 E Court St.	Marion	NC				37111.0	28752	828-652-8104	McDowell	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://mcdowell.ces.ncsu.edu/		0		WCUR_REAS_NP00
270	NCSU AG Extension-Mountain Horticulture Crops Research	Jeanine Davis	455 Research Dr.	Mills River	NC				37089.0	28759	828-684-3562	Henderson	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://mountainhort.ces.ncsu.edu/		0		WCUR_REAS_NP00
271	NCSU AG Extension-Polk County	Scott Welborn	79 Carmel Ln.	Columbus	NC				37149.0	28722	828-894-8218	Polk	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://polk.ces.ncsu.edu/		0		WCUR_REAS_NP00
272	NCSU AG Extension-Rutherford County	Jeff Bradley	193 Callahan-Koon Rd.	Spindale	NC				37161.0	28160	828-288-4036	Rutherford	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://rutherford.ces.ncsu.edu/		0		WCUR_REAS_NP00
273	NCSU AG Extension-Swain County	Rob Hawk, II	60 Almond School Rd.	Bryson City	NC				37173.0	28713	828-488-3848	Swain	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://swain.ces.ncsu.edu/		0		WCUR_REAS_NP00
274	NCSU AG Extension-Transylvania County	Bart Renner	106 East Morgan St., Suite 109	Brevard	NC				37175.0	28712	828-884-3109	Transylvania	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Government program			https://transylvania.ces.ncsu.edu/		0		WCUR_REAS_NP00
275	Nest Organics		51 N Lexington Ave.	Asheville	NC				37021.0	28801	828-258-1901	Buncombe	Textile			End Consumer Distribution			Home and Garden			0	Children's clothing, Home Goods		Blue Ridge Naturally	http://nestorganics.com/		0		WCUR_REAS_NP00
276	New Belgium Brewing Company		21 Craven St.	Asheville	NC				37021.0	28806	828-333-6900	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage and food products		https://www.newbelgium.com/brewery/asheville	Taproom and rotating food trucks	42461		WCUR_REAS_NP00
277	New Sprout Organic Farms, LLC 	Alan Rose	1070-1 Tunnel Rd., Suite 10-225	Asheville	NC				37021.0	28805	828-357-5501	Buncombe	Food Product			Raw Materials			Agriculture			0	Food Product	Fruits, Vegetables, Herbs	Local Harvest	http://www.newsproutfarms.com/		0		WCUR_REAS_NP00
278	Newsun		215 Linda Vista Dr.	Hendersonville	NC				37089.0	28792	828-697-4343	Henderson	Medical			End Consumer Distribution			Personal and Health Care			0	Essential Oils, Enzymes, Homeopathics		Blue Ridge Naturally	https://www.mynewsun.com		0		WCUR_REAS_NP00
279	NightBell	Heirloom Hospitality Group	32 S Lexington Ave.	Asheville	NC				37021.0	28801	828-575-0375	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	https://heirloomhg.com		0		WCUR_REAS_NP00
280	No Evil Foods Company 	Sadrah Schadel	PO Box 47	Asheville	NC				37021.0	28801	828-367-1536	Buncombe 	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals		https://www.noevilfoods.com/		0		WCUR_REAS_NP00
281	North Asheville Tailgate Market		1 University Heights	Asheville	NC				37021.0	28801		Buncombe	Tailgate Market			End Consumer Distribution			Agriculture			0	Produce and value added food products				Seasonal April-November	0		WCUR_REAS_NP00
282	Nottly River Valley Vineyard		1150 Old Culberson Rd.	Murphy	NC				37039.0	28906	828-837-7822	Cherokee	Vineyard	Winery		Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Tourism	Agriculture		0	Vineyard and Winery	Craft wine-Cabernet Franc, Cabernet Sauvignon, Chardonnay, Primitivo, Pinot Gris, Riesling, and the French Hybrids 		https://nottelywine.com/	"93 acre farm, ""Old World Style, Hand-Crafted” wines of Europe, Agri-tourism tasting room and tours"	0		WCUR_REAS_NP00
283	Oakley Farmers Market		12 Old Charlotte Hwy.	Asheville	NC				37021.0	28803	828-407-0188	Buncombe	Tailgate Market			End Consumer Distribution			Agriculture			0	Produce and value added food products			https://oakleyfarmersmarket.wordpress.com/	Seasonal May-Sept	0		WCUR_REAS_NP00
284	Old Edwards Inn and Spa		445 Main St.	Highlands	NC				37113.0	28741	866-526-8008	Macon	Inn and Spa			End Consumer Distribution			Personal and Health Care	Tourism		0	End Consumer Distribution	Spa Treatments and related products		https://www.oldedwardsinn.com/spa	High End lodging and spa facility	0		WCUR_REAS_NP00
285	Oliver Organics	Hal Oliver	101 Winsom Trail	Hendersonville	NC				37089.0	28739	828-697-1153 	Henderson	Medical	Food		Raw Materials	End Consumer Distribution		Agriculture			0	Herbs, Vegetables	Vegetables in season	Appalachian Grown	http://www.appalachiangrown.org/wholesale/seller/336-oliver-organiks		0		WCUR_REAS_NP00
286	One Center Yoga	Cindy Dollar	120 Coxe Ave.	Asheville	NC				37021.0	28801	828-255-9401	Buncombe	Medical			End Consumer Distribution			Personal and Health Care			0	Yoga	Alternative Medicine		http://embodyyogaasheville.com/		0		WCUR_REAS_NP00
287	One Willow Apothecaries	Asia Suler	 	Marshall	NC				37115.0	28753		Madison	Medical			End Consumer Distribution			Personal and Health Care			0	Apothecary	Alternative and holistic health service Education 		https://onewillowapothecaries.com/		0		WCUR_REAS_NP00
288	One World Brewing		10 Patton Ave.	Asheville	NC				37021.0	28801	828-785-5580	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://oneworldbrewing.com/	Underground facility and taproom opening new location in 2018 west Asheville	41760		WCUR_REAS_NP00
289	Organic Planet Cleaning	David Stewart	12 Daisy Ln.	Asheville	NC				37021.0	28806	828-424-4654	Buncombe	Cleaning 			Processing and Wholesale Distribution	End Consumer Distribution		Home and Garden			0	Cleaning Supplies/Services			https://organicplanetcleaning.wordpress.com/		0		WCUR_REAS_NP00
290	Organic Raw Materials School	Lee Warren	PO Box 17804	Asheville	NC				37021.0	28716	828-214-7833					Technical Assistance, Educational Institutions and Support Programs			Education and Research			0				https://organicRaw Materialssschool.org/		0		WCUR_REAS_NP00
291	Oskar Blues Brewery	Aaron Baker	342 Mountain Industrial Dr.	Brevard	NC				37175.0	28712	828-883-2337	Transylvania	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		www.oskarblues.com/	Large Brewing facility owned by Colorado based company. Outdoor space with music venue and permanent food truck	41274		WCUR_REAS_NP00
292	Overeasy Cafe		32 Broadway St.	Asheville	NC				37021.0	28801	828-236-3533	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.overeasyasheville.com		0		WCUR_REAS_NP00
293	Owl Bakery	Susannah Gebhart	299 Haywood Rd.	Asheville	NC				37021.0	28806	828-785-1770	Buncombe 	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Products	Bakery		http://www.owlbakery.com		0		WCUR_REAS_NP00
294	Oyster House Brewing Company		625 Haywood Rd.	Asheville	NC				37021.0	28806	828-575-9370	Buncombe	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage and food products		http://oysterhousebeers.com/	Full Restaurant small batch brewing	39845	Yes	WCUR_REAS_NP00
295	Patton Avenue Pet Company		109 Patton Ave.	Asheville	NC				37021.0	28801	828-255-7737	Buncombe	Pet Products			End Consumer Distribution			Food Manufacturing and Packaging			0	Dog food, cat food, small animal		Blue Ridge Naturally	http://www.pattonavenuepet.com/		0		WCUR_REAS_NP00
296	Peaks and Creeks Brewing Company		212 King St., Suite B  	Brevard	NC				37175.0	28712	828-550-4765	Transylvania	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.peaksandcreeksbrewingco.com/	Production, taproom, arts district attraction	43009		WCUR_REAS_NP00
297	Phoenix Research Products	Niki Metcalf	73 Ridgeway Rd.	Candler	NC				37021.0	28715	828-418-1080	Buncombe 	Biotech			Testing Labs, Research Institutions and Product Development			Education and Research			0	Biotech	Research		https://www.phenixresearch.com		0		WCUR_REAS_NP00
298	Pick and Preserve	Ashlie Harper	281 Poverty Branch Rd.	Barnardsville	NC				37021.0	28709	828-768-8042	Buncombe	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Agriculture	Food Manufacturing and Packaging		0	Farm and value added food products	Fruit Spread	Appalachian Grown	https://www.pickandpreserve.com		0		WCUR_REAS_NP00
299	Pisgah Brewing Company		150 Eastside Dr.	Black Mountain	NC				37021.0	28711	828-669-0190	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage		www.pisgahbrewing.com	taproom with inside and outside stages for music and regular rotating food trucks	38504	Yes	WCUR_REAS_NP00
300	Plant Restaurant Inc	Jason Sellers	165 Merrimon Ave.	Asheville	NC				37021.0	28801	828-258-7500	Buncombe 	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals		https://www.plantisfood.com/		0		WCUR_REAS_NP00
301	Premium Organics 	Andrew Stepp	70 Clinton Ave.	Asheville	NC				37021.0	28806	828-243-2781	Buncombe 	Cleaning 			End Consumer Distribution			Home and Garden			0	Pest Removal	Pest Removal		http://premiumorganiclandscapes.com/		0		WCUR_REAS_NP00
302	PRO-Hydro Beverages INC	Kathy Holmes	200 Asheland Ave. 	Asheville	NC				37021.0	28801	828-779-0411	Buncombe	Medical			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Supplements 	Probiotic and Vitamins 		http://h2probiotics.com/		0		WCUR_REAS_NP00
303	Pyrwood Dairy		20 Everett Rd.	Pisgah Forest	NC				37175.0	28768	828-884-6245	Transylvania	Dairy			Processing and Wholesale Distribution			Food Manufacturing and Packaging			0	cheese, milk	Goat Dairy products			education, Agri farm tours and products	0		WCUR_REAS_NP00
304	Ra Ma Kaur			Asheville	NC				37021.0	28806	828-242-9114	Buncombe	Alternative Medicine			End Consumer Distribution			Personal and Health Care			0	Kundalini Yoga and Meditation, Gong Resound Healer Herbalist a	Alternative Medicine products based on treatment		www.ramakaur.com		0		WCUR_REAS_NP00
305	Rare Body-Selina Naturally	Selina Delangre	Hendersonville Rd.	Arden	NC				37021.0	28704	800.867.7258	Buncombe	Personal Products			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	End Consumer Distributions	body lotions, salves, scrubs		https://www.selinanaturally.com/brands/rare-body-care		0		WCUR_REAS_NP00
306	Rare Earth Builders 	Mark Bondurant 	105 Creative Cove	Canton	NC				37087.0	28716	828-283-1444	Haywood	Processing and Wholesale Distribution			Processing and Wholesale Distribution			Personal and Health Care			0	Green Buildings	Green Energy 		http://rareearthbuilders.com/greenbuildingresources.html		0		WCUR_REAS_NP00
307	Red Moon Herbs	Jeannie Dunn	433 Weaverville Hwy.	Asheville	NC				37021.0	28804	888-929-0777	Buncombe	Medical			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Agriculture	Personal and Health Care		7	Extracts, Dried herbs and Teas, Elixirs and Syrups, Salves and	Astragalus (Astragalus membranaceus), lemon balm (Melissa officinalis), peppermint (Mentha piperita)	Blue Ridge Naturally	https://redmoonherbs.com		0		WCUR_REAS_NP00
308	Red Root Native Nursery 	Jean Harrison	P.O. Box 550	Weaverville	NC				37021.0	28787	828-545-0565	Buncombe	Medical	Food		Raw Materials			Agriculture			1	Shrubs, Herbs	Seasonal	Local Harvest	http://www.redrootnatives.com/		0		WCUR_REAS_NP00
309	Reems Creek Valley Nursery	Susan Reavis	70 Monticello Rd.	Weaverville	NC				37021.0	28787	828-645-3937	Buncombe	Floriculture			Raw Materials	End Consumer Distribution		Agriculture			0	Plants	Plants		http://www.reemscreek.com/		0		WCUR_REAS_NP00
310	Relax and Rejuvenate of Asheville, Inc		5 Regent Park Blvd.., Suite 105	Asheville	NC				37021.0	28806	828-250-9077	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	massage Treatments	Massage treatments		http://relaxrejuvenate.com/		0		WCUR_REAS_NP00
311	Ridge Runner Trading Company	Tony Hayes	345 Cranberry Springs Rd.	Fleetwood	NC				37009.0	28626	828-264-3615		Broker			Processing and Wholesale Distribution			Agriculture			0	purchasing agent for a regional firm	non-timber forest products		http://ridgerunnertrading.com/	Education, buyer, international supplier	0		WCUR_REAS_NP00
312	River Arts District Farmers market		175 Clingman Ave.	Asheville	NC				37021.0	28801		Buncombe	Farmer's Market			End Consumer Distribution			Agriculture			0	Produce and value added food products	Farmers Market		http://radfarmersmarket.wixsite.com/rad-farmers-market	Seasonal --Midweek May through November	0		WCUR_REAS_NP00
313	Riverbend Malt House	Brent Manning	12-C Gerber Rd.	Asheville	NC				37021.0	28803	828-450-1081	Buncombe	Brewery			End Consumer Distribution			Tourism			0	Beverage	Brewery		http://riverbendmalt.com/		0		WCUR_REAS_NP00
314	Roots and Branches Specialty Foods		131 South Ave.	Swannanoa	NC				37021.0	28816	828-398-8097	Buncombe	Grocery			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Value added food products	Artisan crackers, soup and education		www.rootsandbranchesavl.com		0		WCUR_REAS_NP00
315	Round Mountain Creamery		2203 Old Fort Rd.	Black Mountain	NC				37021.0	28711	828-669-0718	Buncombe	Food Product			Raw Materials			Food Manufacturing and Packaging			0	Food Product	Goat Dairy	Local Food Guide	https://www.roundmountaincreamery.com		0		WCUR_REAS_NP00
316	Sacred Roots Wellness	Anna Ferguson	9B All Souls Cres	Asheville	NC				37021.0	28803	828-771-6403	Buncombe	Medical			End Consumer Distribution			Personal and Health Care			0	Yoga	Yoga		http://yogafortrauma.com/		0		WCUR_REAS_NP00
317	Salon and Skin Spa of Hazelwood		1086 Brown Ave.	Waynesville	NC				37087.0	28786	828-456-2050	Haywood	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Skin Care Products	Spa and skincare products		http://salonandskinspa.com/		0		WCUR_REAS_NP00
318	Sanctuary Brewing Company		147 First Ave E.	Hendersonville	NC				37089.0	28792	828-595-9956	Henderson				Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.sanctuarybrewco.com/	Small bites and regular event venue pet adoption and trivia	42217		WCUR_REAS_NP00
319	Sanctuary Native Plants	Mary Janis	251 Robinson Ln.	Hayesville	NC				37043.0	28904	828-389-1913	Clay	Floriculture			Raw Materials	End Consumer Distribution		Agriculture			0	End Consumer Distribution nursery sales	Native plants, medicinal botanicals	NC Dept of Ag	http://www.ncagr.gov/ncproducts/ShowSite.asp?ID=2640		0		WCUR_REAS_NP00
320	Sandy Mush Herb Nursery	Kate Jayne	316 Surrett Cove Rd.	Leicester	NC				37021.0	28748	828-683-2014	Buncombe	Floriculture			Raw Materials	End Consumer Distribution		Agriculture			0	End Consumer Distribution of Plant Starts	Traditional Culinary and Medicinal Herbs	Appalachian Grown	http://www.sandymushherbs.com/		0		WCUR_REAS_NP00
321	Sanesco International Inc	Hector Romero	1010 Merrimon Ave.	Asheville	NC				37021.0	28804	866-670-5705	Buncombe	Medical			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Bio Tech	Alternative Medicine		https://sanescohealth.com/		0		WCUR_REAS_NP00
322	Sapphire Mountain Brewing Company		50 Slicers Ave.	Sapphire	NC				37099.0	28774	828-743-0220	Jackson	Contract Brewery	Restaurant	Tourism	Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage,specialy alcohol cocktails, food products, music and event venue		https://www.sapphiremountainbrewingcompany.com/	Craft Beer, High end restaurant, signature cocktails	0		WCUR_REAS_NP00
323	Satulah Mountain Brewing Company		454 Carolina Way	Highlands	NC				37113.0	28741	?828-482-9794	Macon	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://satulahmountainbrewing.weebly.com/home.html	Family and pet friendly taproom 	41791		WCUR_REAS_NP00
324	Seaons at Highland Lake	Peter Fassbender	86 Lily Pad Ln.	Flat Rock	NC				37089.0	28731	828-696-9094	Henderson	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Appalachian Grown	http://hlinn.com/seasons		0		WCUR_REAS_NP00
325	Self Help Credit Union	Jane 	34 Wall St., Suite 704	Asheville	NC				37021.0	28801	828-239-9231	Buncombe	Lending Institution			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Food systems and environmental special loan programs	Full service financing		https://www.self-help.org/business/loans/all-business-loans	Partners with SBA, USDA, NCIF and NC Rural Center loan programs	0		WCUR_REAS_NP00
326	Selina Naturally-Celtic Sea Salt	Selina Delangre	Hendersonville Rd.	Arden	NC				37021.0	28704	800-867-7258	Buncombe	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Natural Sea Salt products for humans and animals	sea salt, seasonings, electrolyte 		www.selinanaturally.com/		0		WCUR_REAS_NP00
327	Shelton Farms	William Shelton	500 Thomas Cove Rd.	Whittier	NC				37099.0	28789	828-497-5323	Jackson	Farm			Raw Materials			Agriculture	Food Manufacturing and Packaging		0	Produce and value added food products	Produce and value added food products				0		WCUR_REAS_NP00
328	Shoji Spa		96 Avondale Heights Rd.	Asheville	NC				37021.0	28803	828-299-0999	Buncombe	Treatment			Technical Assistance, Educational Institutions and Support Programs			Personal and Health Care			0	spa	spa and tourism retreat		http://www.shojiretreats.com/		0		WCUR_REAS_NP00
329	Short Street Cakes	Kayla Cochrane	403 Charlotte St.	Asheville	NC				37021.0	28801	681-203-6033	Buncombe 	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Products	Bakery		http://shortstreetcakes.com		0		WCUR_REAS_NP00
330	Sideways Farm & Brewery		62 Eade Rd.	Etowah	NC				37087.0	28729	828-595-3445	Haywood	Brewery			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Tourism			0	Farm to Pint craft beer production 	Craft beer and farm produce		http://www.sidewaysfarm.com/	Farm to Pint concept, new in 2018	0		WCUR_REAS_NP00
331	Sierra Nevada Brewing Company		100 Sierra Nevada Way	Mills River	NC				37021.0	28732	828-681-5300	Buncombe	Brewery	Restaurant	Tourism	Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.sierranevada.com/	Restaurant and taproom with indoor/ outdoor space for music venues 	42064		WCUR_REAS_NP00
332	Smiling Hara 	Sarah Yancey & Chad Oliphant		Asheville	NC				37021.0	28801	828 242 1300	Buncombe	Food Product			Processing and Wholesale Distribution			Food Manufacturing and Packaging			0	Food product	Plant based protein 		https://www.smilingharatempeh.com/	committed to offering the most nutritious plant based proteins possible, and at the same time providing a market for organic farmers	0		WCUR_REAS_NP00
333	Smoky Mountain Native Plants Association		P.O. Box 761	Robbinsville	NC				37075.0	28771	828-479-8788	Graham	Medical Education			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Support people earn income through growing, collecting, proces			www.smnpa.org		0		WCUR_REAS_NP00
334	Sole Haven: Foot Reflexology Lounge		1636 Hendersonville Rd.	Asheville	NC				37021.0	28803	828-785-1887	Buncombe	Alternative Medicine			End Consumer Distribution			Personal and Health Care			0	Foot Reflexology	Spa treatment for your feet		https://www.solehavenofasheville.com/		0		WCUR_REAS_NP00
335	Southeast Wise Women	Corrina Wood	1039 Camp Elliot Rd.	Black Mountain	NC				37021.0	28711	828-669-3655	Buncombe	Medical			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Conference/ Medicinal 	Herbal Conference and Ed newsletter		https://www.sewisewomen.com/		0		WCUR_REAS_NP00
336	Southern Appalachian Brewery		822 Locust St.	Hendersonville	NC				37089.0	28792	828-684-1235	Henderson	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.sabrewery.com/	Family and pet friendly taproom with outside seating, regular live music and food trucks	37622	Yes	WCUR_REAS_NP00
337	Southwestern Commission	Sarah Thompson	125 Bonnie Ln.	Sylva	NC				37099.0	28779	828-586-1962		Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Economic Development and Planning	local government planning and development		http://regiona.org/	organization serving a muli-county region including Haywood, Jackson, Swain, Macon, Clay, Graham and Cherokee counties.	0		WCUR_REAS_NP00
338	Sow True Seed	Carol Koury	243 Haywood St.	Asheville	NC				37021.0	28801	828-254-0708	Buncombe	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Agriculture			0	Food Product	Seeds	Local Food Guide	https://sowtrueseed.com		0		WCUR_REAS_NP00
339	Spa at Biltmore Village		18 Brook St.	Asheville	NC				37021.0	28801	828-277-2639	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Spa	spa products		http://www.spaatbiltmorevillage.com/		0		WCUR_REAS_NP00
340	Spa Theology		53 College St.	Asheville	NC				37021.0	28801	828-255-4171	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Spa	spa and massage products		http://www.spatheology.com/		0		WCUR_REAS_NP00
341	Still Point Wellness		81-B Central Ave.	Asheville	NC				37021.0	28801	828-348-5372	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Spa	Salt water floatation and Esalen Massage		https://www.stillpointwell.com/		0		WCUR_REAS_NP00
342	Sunrise Yoga Studio		18 Herbert St.	Hayesville	NC				37043.0	28904	828-557-5731	Clay	Service			End Consumer Distribution			Personal and Health Care			0	Yoga	Yoga		https://sunriseyogastudio.com/	Classes to release stress	0		WCUR_REAS_NP00
343	Sweeten Creek Brewing		1127 Sweeten Creek Rd.	Asheville	NC				37021.0	28803	828-575-2785	Buncombe	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage and food products		http://sweetencreekbrewing.com/	Taproom, gourmet sandwich shop with large outdoor space	41609		WCUR_REAS_NP00
344	The Copper Door	Dennis Barber	2 Sullivan St.	Hayesville	NC				37043.0	28904	828-389-8460	Clay	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals		http://thecopperdoor.com/		0		WCUR_REAS_NP00
345	The Market Place	William Dissen	20 Wall St.	Asheville	NC				37021.0	28801	828-252-4162	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	https://marketplace-restaurant.com		0		WCUR_REAS_NP00
346	The Purple Onion	Susan Casey	16 E Main St.	Saluda	NC				37149.0	28773	828-749-1179	Polk	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Appalachian Grown	http://www.purpleonionsaluda.com		0		WCUR_REAS_NP00
347	The Salt Spa of Asheville and Himalayan Salt Cave Sanctuary		473 Hendersonville Rd.	Asheville	NC				37021.0	28803	828-505-1838	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Spa Treatment and products	Salt Spa and Sanctuary Wellness		http://www.saltspaasheville.com/		0		WCUR_REAS_NP00
348	The Spa at The Omni Grove Park Inn		290 Macon Ave.	Asheville	NC				37021.0	28804	828-252-2711	Buncombe	End Consumer Distribution	Tourism		End Consumer Distribution			Personal and Health Care	Tourism		0	Spa and Hotel	spa products		https://www.omnihotels.com/hotels/asheville-grove-park/spa		0		WCUR_REAS_NP00
349	The Still Place		136 Crossover Ln.	Hayesville	NC				37043.0	28904	352-316-2963	Clay	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Spa Treatment and products	Incorporating nature, art, spirituality and Southern Appalachian				0		WCUR_REAS_NP00
350	Thirsty Monk Brewery		92 Patton Ave.	Asheville	NC				37021.0	28801	828-254-5470	Buncombe	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Belgian and American Craft Beer	Craft Beverage and food products		http://monkpub.com/	3 locations for taprooms, full bar and light café. Other locations in Colorado and Oregon	41183		WCUR_REAS_NP00
351	Triple 7 Brewhouse/Westville Pub		777 Haywood Rd.	Asheville	NC				37021.0	28806	828-225-9782	Buncombe 	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer, in-house baked bread	Craft Beverage and food products		www.westvillepub.com/	brewery and taproom part of westville pub fare 	0		WCUR_REAS_NP00
352	Triskelion Brewing Company		669 Maple St.	Hendersonville	NC				37089.0	28792	828-388-7051	Henderson	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.triskelionbrewing.com/	Production and taproom	43070		WCUR_REAS_NP00
353	Trout Lily Market		1297 Charlotte Hwy.	Fairview	NC				37021.0	28730	828-628-0402	Buncombe	Market			End Consumer Distribution			Agriculture			0	Grocery Store	Full service Market	Blue Ridge Naturally	http://troutlilymarket.com/		0		WCUR_REAS_NP00
354	Troy Distilleries	Troy Ball	41 Hilltop Rd.	Asheville	NC				37021.0	28803	828-337-2364	Buncombe	Distillery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft liquor	Craft beverage		https://ashevilledistilling.com/		0		WCUR_REAS_NP00
355	Tuckasegee Valley Ginseng		 PO Box 236	Tuckasegee	NC				37099.0	28783		Jackson	Ginseng			Raw Materials			Agriculture			0	Ginseng broker	Education and Ginseng Broker		http://www.planetearthdiversified.com/ginseng.htm		0		WCUR_REAS_NP00
356	Turgua Brewing Company		27 Firefly Hollow Dr.	Fairview	NC				37021.0	28730	828-222-0984	Buncombe	Farm	Brewery		Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Agriculture	Tourism		0	Craft Beer	Craft beverage and ingredients to produce beer 		http://www.turguabrewing.com/	Farm to kettle style brewing, taproom 	42795		WCUR_REAS_NP00
357	Twin Leaf Brewery		144 Coxe Ave.	Asheville	NC				37021.0	28801	828-774-5000	Buncombe 	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage		http://www.twinleafbrewery.com/	Taproom with outside space	41699		WCUR_REAS_NP00
358	Upcountry Brewing Company/Altamount Brewing Company		1042 Haywood Rd.	Asheville	NC				37021.0	28806	(828) 575-2400	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer, food, music venue	Craft beverage and food products, live music venue		https://upcountrybrewing.com/	Taproom with patio seating, live music, bar menu	42705		WCUR_REAS_NP00
